Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.1583709716797,152.26257663838246,149.9890168529734,150.41530750587003,22622100
2020-01-03,150.2637176513672,151.52365350919996,149.7332213859511,149.9795335484222,21116200
2020-01-06,150.65219116210938,150.71851045326142,148.2649424147143,148.80492136856677,20813700
2020-01-07,149.278564453125,151.25845815414866,149.03226665965386,150.92690510004644,21634100
2020-01-08,151.6563262939453,152.32892928184137,149.6290637970409,150.55743255975017,27746500
2020-01-09,153.5509796142578,153.67413574703286,152.54682348378634,153.3141497927336,21385000
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900
2020-01-13,154.67820739746094,154.70662580412704,152.76461943729808,153.23827882164966,21626500
2020-01-14,153.58888244628906,154.98144297107078,153.20047806483123,154.78249955826826,23477400
2020-01-15,154.58352661132812,155.3034983915867,154.00567582656228,154.05303021846976,21417900
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400
2020-01-17,158.29702758789062,158.64753102974288,156.7149919685834,158.60016218369577,34371700
2020-01-21,157.7286376953125,159.32960936368943,157.66231841676765,157.89914820309696,29517200
2020-01-22,156.9707489013672,158.66645793583385,156.9517984747694,158.58118824361392,24138800
2020-01-23,157.93704223632812,158.0128294992705,156.5634324259856,157.43496426740944,19680800
2020-01-24,156.34552001953125,158.70434951248504,155.78660528365143,158.68539908526893,24918100
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100
2020-01-28,156.74342346191406,157.0276076258131,154.4793314082179,155.15191986936853,24899900
2020-01-29,159.1875,159.86010294143955,156.96130872089228,158.99803906528018,34754500
2020-01-30,163.67776489257812,164.88086399079006,161.79259500285548,164.88086399079006,51597500
2020-01-31,161.26211547851562,163.31779605239475,160.6463638869867,163.13781757767464,36142700
2020-02-03,165.19349670410156,165.30717036186377,161.42315656565438,161.45157498009493,30107000
2020-02-04,170.631103515625,171.1237134714776,167.02182022982586,167.80809677985968,36433300
2020-02-05,170.42271423339844,174.4961895872338,169.01121791022703,174.33514706166798,39186300
2020-02-06,173.95623779296875,174.13623076252514,170.57430114590088,171.43636512906852,27751400
2020-02-07,174.2025146484375,175.85085514230525,172.86679120280033,173.21730911108827,33529100
2020-02-10,178.75909423828125,178.89171832144078,173.5962085264368,173.90882553422875,35844300
2020-02-11,174.72354125976562,180.65375376260124,173.8330589718601,180.60638491548957,53159900
2020-02-12,174.97930908203125,176.05925222698292,172.26997600540625,175.80347203464285,47062900
2020-02-13,174.03199768066406,176.4192313976913,173.2362386533794,173.4351820239361,35295800
2020-02-14,175.58560180664062,175.64243864012167,173.0278286604553,173.59622590515036,23149500
2020-02-18,177.36654663085938,177.81178775317247,175.72768867603537,175.83189435263932,27792200
2020-02-19,177.89852905273438,178.75343930147744,177.12910692998037,178.63945513349202,29997500
2020-02-20,175.18174743652344,177.86998445493268,172.02806552961567,177.5850096183367,36862400
2020-02-21,169.64381408691406,174.30785891305882,168.3709427375459,173.99438799966083,48572600
2020-02-24,162.3295135498047,165.80617465450774,155.053226624291,159.3658100477875,68311100
2020-02-25,159.6508331298828,166.08169133903291,159.2518595430359,165.47375160376006,68073300
2020-02-26,161.64561462402344,164.58082272532707,159.7838056869428,161.20866567721743,56206100
2020-02-27,150.25621032714844,158.66288904796488,150.06623191703775,155.1387438829772,93174900
2020-02-28,153.8943634033203,155.50921622258826,144.38580353335962,144.7752687189207,97012700
2020-03-02,164.13436889648438,164.25786140312832,154.17935094628967,157.02907098692916,71030800
2020-03-03,156.26913452148438,166.23366029061174,154.13184460346224,165.09377523321822,71677000
2020-03-04,162.006591796875,162.1490720051714,157.32354419371018,160.049786299332,49814400
2020-03-05,157.9409637451172,162.31052511256803,157.39001621509487,157.73198314771483,47817300
2020-03-06,153.4763946533203,154.93924423326555,148.18540868091614,154.4642910003139,72821100
2020-03-09,143.07489013671875,149.84772706643034,142.4859528365423,143.43585918878594,70419300
2020-03-10,152.8589630126953,152.9634533148357,144.93674572307532,150.23722610593282,65354400
2020-03-11,145.93417358398438,149.80028638541867,143.5783944896267,149.25884709378187,56371600
2020-03-12,132.0940399169922,145.78220065599004,131.63808870236042,138.0214636849162,93226400
2020-03-13,150.87367248535156,153.79938665871734,133.68035660445514,140.11122857796408,92727400
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800
2020-03-18,133.36688232421875,138.68636514109926,128.25639461563904,131.08711225665544,81593200
2020-03-19,135.5612030029297,142.6284972735,132.03704247024078,135.61819509064304,85922700
2020-03-20,130.4697265625,139.73131940892227,129.0543599761802,138.68641595668217,84866200
2020-03-23,129.16830444335938,133.52838705805826,125.88163549437337,130.14670715023314,78975200
2020-03-24,140.9091796875,142.1060716037438,134.19334574567077,136.54911069257048,82516700
2020-03-25,139.56027221679688,146.59908341404636,137.20450796995928,141.45059151845882,75638200
2020-03-26,148.2899169921875,148.81236851080732,140.93763483465182,140.96613087253797,64568100
2020-03-27,142.2010040283203,147.13102121684818,141.7260507653704,144.14831530529963,57042300
2020-03-30,152.20352172851562,152.5549970065621,142.49547567385673,144.8037561165446,63420300
2020-03-31,149.8097686767578,156.52560046154846,148.71736744542542,151.41509857414286,77927200
2020-04-01,144.49032592773438,149.84779977411256,143.26495251632153,145.33574241165908,57969900
2020-04-02,147.4824981689453,147.69147878711792,142.82796147930063,144.25282142442757,49630700
2020-04-03,146.1241455078125,149.4963171018683,144.5662991410881,147.33053104311554,41243300
2020-04-06,156.99105834960938,158.15943933853654,149.68627471810913,152.28902386275382,67111700
2020-04-07,155.30020141601562,161.48408681671097,155.08171250963323,161.09462171690367,62769000
2020-04-08,156.85804748535156,158.3208969546214,155.30969542485835,157.37099056058554,48318200
2020-04-09,156.86758422851562,158.98587200804732,155.14825550424828,158.02647150570388,51385100
2020-04-13,157.21908569335938,157.27609228264072,154.16989266332737,156.11720470587986,41905300
2020-04-14,164.9988250732422,165.0463233169674,159.58435866043465,160.53426555722297,52874300
2020-04-15,163.26995849609375,164.87530304245226,160.76220553744395,162.62401444151914,40940800
2020-04-16,168.17144775390625,168.39943054189166,164.23883525130512,165.56871310625135,50479600
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600
2020-04-20,166.2906494140625,169.79580713643446,166.22416348822875,167.7820097543469,36669600
2020-04-21,159.413330078125,164.97027490463032,157.78898343996238,164.8087925244848,56203700
2020-04-22,164.82778930664062,165.2837403941168,162.2630445097546,162.80448370842808,34620200
2020-04-23,162.83299255371094,166.2906521024293,162.34854539106306,165.38824370404214,32790800
2020-04-24,165.80618286132812,165.81567670835807,162.1585453714661,163.44091045280888,34277600
2020-04-27,165.33123779296875,168.03846276162992,164.61880788104367,167.74399405047532,33194400
2020-04-28,161.3036651611328,166.87011937399518,160.9047060598675,166.79412509359793,34392700
2020-04-29,168.5419158935547,168.779392536246,163.26994602134675,164.54281734751044,51286600
